Num	Guess	Average remaining answers
313	pearl:	116.938
314	crise:	116.984
315	tiles:	117.021
316	ramie:	117.031
317	crena:	117.042
318	trona:	117.063
319	loast:	117.075
320	telos:	117.133
321	saute:	117.201
322	reads:	117.276
323	yearn:	117.301
324	liner:	117.413
325	urena:	117.471
326	rotan:	117.549
327	noser:	117.552
328	ramet:	117.562
329	stern:	117.580
330	prase:	117.623
331	early:	117.715
332	lader:	117.769
333	teils:	117.806
334	paler:	117.818
335	relay:	117.839
336	snarl:	117.882
337	taces:	117.902
338	marle:	117.943
339	cates:	117.956
340	rimae:	117.965
341	alder:	118.132
342	marse:	118.181
343	sager:	118.197
344	apter:	118.267
345	inert:	118.293
346	rants:	118.312
347	reins:	118.340
348	inter:	118.381
349	stria:	118.394
350	hears:	118.514
351	renos:	118.636
352	spare:	118.699
353	arson:	118.748
354	loran:	118.771
355	segar:	118.800
356	resin:	118.823
357	lites:	118.831
358	earth:	118.840
359	apert:	118.894
360	cries:	118.952
361	eards:	119.004
362	gater:	119.007
363	starn:	119.018
364	enrol:	119.158
365	larns:	119.177
366	lirot:	119.200
367	cleat:	119.224
368	corse:	119.226
369	sated:	119.233
370	glare:	119.241
371	morae:	119.350
372	spaer:	119.403
373	rains:	119.410
374	aider:	119.460
375	islet:	119.673
376	ourie:	119.673
377	dealt:	119.676
378	pares:	119.702
379	estro:	119.705
380	ceorl:	119.711
381	istle:	119.718
382	tamer:	119.732
383	paren:	119.809
384	argle:	119.816
385	potae:	119.828
386	gares:	119.886
387	laces:	119.912
388	etnas:	119.955
389	large:	120.019
390	rouse:	120.026
391	thale:	120.067
392	lutea:	120.188
393	eyras:	120.191
394	slade:	120.250
395	outre:	120.390
396	sabre:	120.401
397	mater:	120.476
398	lance:	120.719
399	score:	120.723
400	salto:	120.778
401	sieur:	120.875
402	great:	120.879
403	naris:	120.938
404	ranis:	121.018
405	cires:	121.054
406	renay:	121.119
407	citer:	121.130
408	tased:	121.158
409	perai:	121.202
410	seric:	121.303
411	plate:	121.416
412	lathe:	121.454
413	lyase:	121.467
414	canoe:	121.482
415	palet:	121.532
416	rapes:	121.562
417	airns:	121.671
418	stade:	121.695
419	arpen:	121.761
420	rages:	121.764
421	dearn:	121.806
422	lated:	121.853
423	roist:	122.010
424	recit:	122.123
425	olent:	122.132
426	lento:	122.219
427	denar:	122.222
428	mares:	122.242
429	steil:	122.244
